coleta_inicio,coleta_fim,timezone,periodo_inicio,periodo_fim,relatorio,recorte,dimensao,valor_dimensao,metrica,valor,unidade,observacao
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Detalhes demográficos,todos os usuários,Cidade,Cachoeirinha,Usuários ativos,172,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Detalhes demográficos,todos os usuários,Cidade,Cachoeirinha,whatsapp_click,26,evento principal,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Detalhes demográficos,Organic Search,Cidade,Cachoeirinha,Usuários ativos,6,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Detalhes demográficos,Organic Search,Cidade,Cachoeirinha,whatsapp_click,0,evento principal,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Detalhes demográficos,todos os usuários,Cidade,Sapucaia,Correspondência exata,sem linha,N/D,busca retornou não há dados disponíveis
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Detalhes demográficos,todos os usuários,Cidade,Nova Santa Rita,Correspondência exata,sem linha,N/D,busca retornou não há dados disponíveis
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,todos os usuários,Caminho da página,/seminovos-sapucaia-do-sul,Visualizações,43,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,Organic Search,Caminho da página,/seminovos-sapucaia-do-sul,Visualizações,5,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,todos os usuários,Caminho da página,/seminovos-canoas,Visualizações,12,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,Organic Search,Caminho da página,/seminovos-canoas,Visualizações,0,contagem,sem linha no filtro orgânico
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,todos os usuários,Caminho da página,/seminovos-sao-leopoldo,Visualizações,3,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,Organic Search,Caminho da página,/seminovos-sao-leopoldo,Visualizações,0,contagem,sem linha no filtro orgânico
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,todos os usuários,Caminho da página,/seminovos-cachoeirinha,Visualizações,4,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,Organic Search,Caminho da página,/seminovos-cachoeirinha,Visualizações,0,contagem,sem linha no filtro orgânico
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,todos os usuários,Caminho da página,/seminovos-gravatai,Visualizações,1,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,Organic Search,Caminho da página,/seminovos-gravatai,Visualizações,0,contagem,sem linha no filtro orgânico
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,todos os usuários,Caminho da página,/seminovos-porto-alegre,Visualizações,8,contagem,
2026-08-22 14:50,2026-08-22 15:26,America/Sao_Paulo,2026-07-25,2026-08-21,Páginas e telas,Organic Search,Caminho da página,/seminovos-porto-alegre,Visualizações,3,contagem,
